Zone,Consommation-Personnelle (kg/pers/an),Production-Totale,Importations-Totale,Exportations-Totale,Consommation-Totale,Disponibilité-Intérieure-Totale,Production-Poulet,Importations-Poulet,Exportations-Poulet,Consommation-Poulet,Disponibilité-Intérieure-Poulet,Nbre habitant,Évolution-pop (% en 2007-2017),Stabilité-Politique,PIB/habitant ($)
Saint-Vincent-et-les Grenadines,657790000.0,170000000.0,82000000.0,37000000.0,67000000.0,206000000.0,0.0,9000000.0,1000000.0,8000000.0,8000000.0,109827.0,1.21,0.89,13633.0
Sainte-Lucie,556080000.0,68000000.0,104000000.0,36000000.0,96000000.0,134000000.0,1000000.0,10000000.0,1000000.0,10000000.0,11000000.0,180954.0,7.94,0.99,15247.5
Samoa,833430000.0,293000000.0,70000000.0,18000000.0,159000000.0,346000000.0,0.0,17000000.0,0.0,13000000.0,15000000.0,195352.0,7.31,1.18,6238.8
Sao Tomé-et-Principe,614330000.0,147000000.0,43000000.0,7000000.0,123000000.0,177000000.0,1000000.0,2000000.0,-7470000.0,2000000.0,2000000.0,207089.0,24.53,0.19,3934.9
Serbie,744900000.0,17550000000.0,1231000000.0,4798000000.0,6582000000.0,14588000000.0,85000000.0,12000000.0,7000000.0,90000000.0,90000000.0,8829628.0,-2.98,0.09,16611.0
Sierra Leone,525100000.0,8263000000.0,864000000.0,52000000.0,3935000000.0,9071000000.0,17000000.0,14000000.0,0.0,30000000.0,30000000.0,7488423.0,25.02,-0.04,1593.5
Slovaquie,688570000.0,8036000000.0,3973000000.0,4725000000.0,3750000000.0,7386000000.0,71000000.0,63000000.0,35000000.0,76000000.0,74000000.0,5447900.0,0.91,0.91,30061.6
Slovénie,917880000.0,2034000000.0,2414000000.0,1741000000.0,1902000000.0,2703000000.0,72000000.0,20000000.0,29000000.0,51000000.0,52000000.0,2076393.0,3.19,0.87,36507.6
Soudan,506060000.0,28852000000.0,4063000000.0,776000000.0,20653000000.0,31387000000.0,67000000.0,2000000.0,-1600000.0,65000000.0,69000000.0,40813397.0,12.85,-1.98,4614.0
Sri Lanka,510990000.0,9574000000.0,4562000000.0,856000000.0,10796000000.0,14141000000.0,192000000.0,0.0,2000000.0,164000000.0,192000000.0,21128032.0,6.48,-0.07,13584.2
Suisse,929690000.0,10086000000.0,4978000000.0,2030000000.0,7860000000.0,12871000000.0,91000000.0,51000000.0,4000000.0,133000000.0,133000000.0,8455804.0,12.19,1.26,13584.2
Suriname,581490000.0,701000000.0,189000000.0,184000000.0,326000000.0,654000000.0,10000000.0,18000000.0,5000000.0,18000000.0,25000000.0,570496.0,11.6,0.13,17753.1
Suède,928800000.0,14995000000.0,7939000000.0,5401000000.0,9200000000.0,16839000000.0,157000000.0,84000000.0,23000000.0,164000000.0,187000000.0,9904896.0,8.1,0.98,51948.0
Sénégal,439200000.0,6340000000.0,4051000000.0,784000000.0,6771000000.0,9756000000.0,77000000.0,0.0,0.0,73000000.0,77000000.0,15419355.0,31.94,-0.05,3259.2
Tadjikistan,541030000.0,6874000000.0,1579000000.0,131000000.0,4802000000.0,8263000000.0,2000000.0,38000000.0,-4450000.0,39000000.0,40000000.0,8880268.0,25.74,-0.67,3236.4
Tchad,343510000.0,7547000000.0,219000000.0,215000000.0,5154000000.0,7109000000.0,6000000.0,1000000.0,0.0,7000000.0,7000000.0,15016753.0,38.81,-1.29,1579.8
Tchéquie,869220000.0,22426000000.0,6406000000.0,8951000000.0,9251000000.0,20651000000.0,163000000.0,116000000.0,27000000.0,234000000.0,249000000.0,10641034.0,2.74,1.0,38824.9
